Rezultati za V3_V_S_7_11_2012_V.2.kml
16.442477 43.888660 410.340000 r
16.442499 43.888655 410.560000 r
16.442521 43.888651 410.620000 l
16.442542 43.888645 410.630000 l
16.442565 43.888640 410.650000 l
16.442587 43.888636 410.680000 r
16.442609 43.888631 410.720000 r
16.442630 43.888625 410.770000 r
16.442652 43.888619 410.710000 p
16.442674 43.888613 410.620000 r
16.442695 43.888607 410.530000 r
16.442717 43.888601 410.400000 r
16.442738 43.888595 410.250000 l
16.442761 43.888592 410.210000 r
16.442784 43.888591 410.120000 l
16.442806 43.888588 410.110000 p
16.442828 43.888585 410.140000 p
16.442850 43.888582 410.160000 l
16.442873 43.888580 410.150000 r
16.442895 43.888578 410.140000 r
16.442918 43.888576 410.120000 l
16.442940 43.888576 410.080000 l
16.442963 43.888575 410.050000 l
16.442985 43.888575 410.020000 l
16.443008 43.888575 409.980000 l
16.443031 43.888576 409.940000 p
16.443054 43.888577 409.950000 r
16.443076 43.888578 409.950000 r
16.443099 43.888579 409.970000 r
16.443122 43.888581 410.000000 r
16.443144 43.888583 410.040000 r
16.443167 43.888585 410.080000 r
16.443189 43.888587 410.080000 r
16.443211 43.888588 410.100000 r
16.443233 43.888590 410.120000 p
16.443255 43.888592 410.130000 r
16.443276 43.888594 410.150000 l
16.443299 43.888595 410.140000 l
16.443320 43.888598 410.130000 r
16.443342 43.888601 410.140000 p
16.443364 43.888604 410.150000 r
16.443385 43.888607 410.160000 l
16.443407 43.888611 410.180000 r
16.443428 43.888615 410.170000 r
16.443449 43.888618 410.190000 r
16.443470 43.888622 410.200000 p
16.443491 43.888626 410.210000 r
16.443512 43.888631 410.250000 r
16.443533 43.888635 410.280000 r
16.443554 43.888640 410.320000 r
16.443574 43.888645 410.370000 p
16.443594 43.888650 410.440000 r
16.443615 43.888655 410.510000 r
16.443635 43.888660 410.590000 r
16.443655 43.888666 410.670000 r
16.443675 43.888671 410.760000 r
16.443695 43.888677 410.850000 p
16.443715 43.888683 410.920000 r
16.443735 43.888690 411.030000 r
16.443755 43.888696 411.110000 l
16.443774 43.888699 410.960000 l
16.443793 43.888705 411.050000 r
16.443813 43.888711 411.170000 r
16.443832 43.888717 411.290000 r
16.443852 43.888723 411.390000 p
16.443872 43.888729 411.490000 l
16.443890 43.888731 411.280000 l
16.443910 43.888737 411.370000 l
16.443929 43.888742 411.440000 l
16.443949 43.888748 411.510000 l
16.443968 43.888753 411.610000 l
16.443988 43.888759 411.740000 l
16.444008 43.888763 411.810000 l
16.444027 43.888768 411.910000 l
16.444047 43.888772 412.000000 r
16.444067 43.888777 412.100000 r
16.444087 43.888781 412.160000 p
16.444107 43.888785 412.260000 p
16.444127 43.888789 412.330000 r
16.444147 43.888792 412.380000 p
16.444167 43.888795 412.410000 p
16.444187 43.888798 412.440000 r
16.444207 43.888800 412.460000 p
16.444227 43.888802 412.460000 l
16.444248 43.888805 412.390000 l
16.444268 43.888806 412.360000 r
16.444289 43.888807 412.330000 r
16.444309 43.888808 412.310000 r
16.444329 43.888809 412.290000 l
16.444350 43.888809 412.270000 l
16.444371 43.888809 412.250000 l
16.444392 43.888809 412.230000 l
16.444412 43.888809 412.210000 l
16.444433 43.888808 412.180000 l
16.444454 43.888808 412.160000 l
16.444475 43.888807 412.160000 r
16.444496 43.888806 412.160000 p
16.444517 43.888805 412.150000 l
16.444539 43.888803 412.130000 l
16.444560 43.888802 412.130000 r
16.444581 43.888800 412.130000 p
16.444602 43.888798 412.130000 l
16.444623 43.888793 411.970000 l
16.444645 43.888789 411.850000 r
16.444666 43.888785 411.780000 p
16.444687 43.888781 411.710000 r
16.444708 43.888776 411.650000 l
16.444730 43.888772 411.600000 r
16.444751 43.888768 411.560000 r
16.444772 43.888763 411.530000 r
16.444793 43.888759 411.510000 r
16.444814 43.888754 411.490000 r
16.444836 43.888749 411.480000 r
16.444857 43.888744 411.480000 p
16.444878 43.888739 411.500000 r
16.444899 43.888735 411.520000 l
16.444920 43.888729 411.530000 r
16.444942 43.888724 411.540000 r
16.444963 43.888719 411.560000 p
16.444984 43.888714 411.590000 r
16.445005 43.888708 411.620000 r
16.445026 43.888703 411.650000 r
16.445047 43.888697 411.670000 r
16.445069 43.888692 411.690000 r
16.445090 43.888686 411.720000 p
16.445111 43.888680 411.740000 p
16.445132 43.888674 411.770000 p
16.445153 43.888668 411.800000 p
16.445174 43.888662 411.830000 r
16.445195 43.888655 411.860000 r
16.445216 43.888649 411.910000 p
16.445237 43.888643 411.960000 r
16.445258 43.888636 412.010000 r
16.445279 43.888630 412.070000 r
16.445300 43.888623 412.150000 p
16.445321 43.888616 412.240000 r
16.445341 43.888609 412.340000 r
16.445362 43.888602 412.410000 r
16.445383 43.888594 412.470000 r
16.445403 43.888587 412.530000 r
16.445423 43.888579 412.570000 r
16.445443 43.888570 412.620000 r
16.445463 43.888562 412.700000 r
16.445483 43.888553 412.770000 r
16.445503 43.888543 412.850000 r
16.445523 43.888534 412.950000 r
16.445542 43.888525 413.060000 r
16.445562 43.888516 413.150000 r
16.445581 43.888506 413.260000 r
16.445601 43.888497 413.370000 r
16.445620 43.888487 413.450000 r
16.445639 43.888478 413.550000 l
16.445658 43.888466 413.590000 r
16.445676 43.888455 413.640000 p
16.445694 43.888444 413.700000 r
16.445712 43.888432 413.770000 p
16.445730 43.888420 413.830000 p
16.445748 43.888408 413.890000 r
16.445765 43.888396 413.980000 r
16.445783 43.888384 414.070000 r
16.445800 43.888371 414.160000 r
16.445817 43.888359 414.260000 p
16.445834 43.888347 414.360000 r
16.445851 43.888334 414.450000 r
16.445868 43.888322 414.560000 r
16.445885 43.888309 414.650000 r
16.445902 43.888297 414.750000 r
16.445920 43.888286 414.790000 r
16.445938 43.888274 414.840000 p
16.445956 43.888262 414.880000 p
16.445974 43.888250 414.930000 r
16.445991 43.888238 415.040000 r
16.446008 43.888225 415.170000 p
16.446025 43.888212 415.290000 r
16.446041 43.888199 415.430000 r
16.446058 43.888185 415.550000 r
16.446074 43.888172 415.670000 r
16.446091 43.888159 415.790000 r
16.446107 43.888146 415.920000 r
16.446124 43.888132 416.040000 r
16.446141 43.888119 416.160000 p
16.446158 43.888106 416.280000 r
16.446176 43.888093 416.370000 r
16.446193 43.888081 416.490000 l
16.446210 43.888067 416.590000 r
16.446227 43.888054 416.690000 p
16.446244 43.888041 416.790000 p
16.446261 43.888028 416.900000 p
16.446278 43.888015 417.000000 r
16.446296 43.888001 417.110000 r
16.446313 43.887988 417.210000 r
16.446331 43.887975 417.300000 r
16.446348 43.887962 417.400000 p
16.446365 43.887949 417.520000 r
16.446382 43.887935 417.630000 r
16.446399 43.887922 417.730000 r
16.446417 43.887909 417.830000 r
16.446434 43.887896 417.940000 p
16.446451 43.887883 418.050000 p
16.446468 43.887870 418.160000 r
16.446485 43.887856 418.270000 r
16.446502 43.887843 418.370000 p
16.446519 43.887830 418.480000 p
16.446536 43.887817 418.590000 r
16.446552 43.887804 418.730000 r
16.446569 43.887791 418.810000 r
16.446586 43.887777 418.900000 l
16.446603 43.887765 419.010000 l
16.446619 43.887751 419.120000 r
16.446636 43.887738 419.230000 r
16.446652 43.887724 419.340000 r
16.446668 43.887711 419.440000 r
16.446684 43.887697 419.540000 p
16.446700 43.887683 419.630000 r
16.446716 43.887670 419.720000 r
16.446732 43.887656 419.810000 p
16.446748 43.887642 419.920000 p
16.446764 43.887628 420.000000 p
16.446780 43.887614 420.080000 p
16.446796 43.887600 420.190000 r
16.446811 43.887586 420.270000 r
16.446827 43.887571 420.370000 r
16.446843 43.887557 420.480000 p
16.446859 43.887543 420.570000 r
16.446874 43.887529 420.660000 r
16.446890 43.887515 420.760000 r
16.446905 43.887501 420.850000 r
16.446921 43.887486 420.940000 l
16.446935 43.887471 421.020000 r
16.446950 43.887456 421.100000 p
16.446964 43.887442 421.190000 p
16.446979 43.887427 421.290000 r
16.446993 43.887412 421.400000 p
16.447007 43.887397 421.520000 p
16.447021 43.887382 421.620000 p
16.447035 43.887367 421.730000 p
16.447049 43.887352 421.820000 r
16.447063 43.887336 421.890000 r
16.447076 43.887321 421.960000 r
16.447089 43.887305 422.040000 p
16.447102 43.887289 422.080000 r
16.447116 43.887274 422.180000 r
